NR_CERTIFICADO;DT_PROTOCOLO
1143001113117;2025-03-10
1143001593114;2025-05-02
1143001653108;2025-03-10
1143001993109;2025-03-10
1143002013117;2025-03-21
1143002323117;2025-03-10
1143002403114;2025-04-23
1143002543112;2025-03-11
1143002553117;2025-07-21
1143002553109;2025-07-21
1143002563114;2025-05-01
1143002573117;2025-03-13
1143002613109;2025-04-30
1143003203117;2025-03-10
1143003593117;2025-03-24
1143003743117;2025-03-21
1143004153111;2025-04-08
1143004163117;2025-03-10
1143004363117;2025-03-10
1143004563117;2025-03-30
1143004603117;2025-03-30
1143004993117;2025-03-11
1143005123117;2025-03-26
1143005203115;2025-03-11
1143005233115;2025-03-18
1143005363112;2025-03-13
1143005803114;2025-03-12
1143006003111;2025-03-11
1143006063117;2025-03-11
1143006143117;2025-07-02
1143006253117;2025-03-11
1143006353111;2025-03-11
1143006413109;2025-03-13
1143006473117;2025-03-20
1143006533117;2025-09-02
1143006613108;2025-03-15
1143006793111;2025-03-11
1143007073117;2025-03-11
1143007343114;2025-03-26
1143007393117;2025-03-27
1143007543114;2025-03-26
1143007583117;2025-03-20
1143007903111;2025-04-28
1143007973109;2025-03-11
1143008053117;2025-03-20
1143008403117;2025-03-11
1143008463117;2025-03-19
1143008613117;2025-03-14
1143008713117;2025-03-13
1143008723117;2025-03-11
1143009033117;2025-03-11
1143009263117;2025-03-12
1143009523117;2025-03-26
1143009573109;2025-03-11
1143009753117;2025-04-13
1143009813117;2025-03-17
1143010203117;2025-03-12
1143010213111;2025-03-21
1143010403114;2025-03-12
1143010563117;2025-03-12
1143010593117;2025-03-12
1143232423109;2025-07-10
1143390233108;2025-03-10
1143390773114;2025-04-04
1143390793115;2025-04-11
1143390903117;2025-03-18
1143390953117;2025-03-19
1143391033117;2025-03-20
1143391073117;2025-03-20
1143391083117;2025-03-31
1143391103117;2025-03-21
1143391233109;2025-04-08
1143391283117;2025-03-31
1143391443109;2025-04-03
1143391483117;2025-03-28
1143391563108;2025-03-31
1143391623114;2025-03-31
1143391633117;2025-03-31
1143391643117;2025-03-31
1143391663114;2025-03-31
1143391733117;2025-04-02
1143391763114;2025-04-30
1143391883114;2025-04-03
1143391903109;2025-04-03
1143392053114;2025-04-08
1143392063114;2025-04-08
1143392093108;2025-04-16
1143392093111;2025-04-16
1143392123108;2025-04-09
1143392163114;2025-04-14
1143392183117;2025-05-01
1143392193114;2025-04-10
1143392333114;2025-04-12
1143392383117;2025-05-21
1143392403109;2025-04-14
1143392533117;2025-04-15
1143392693108;2025-04-22
1143392703114;2025-04-30
1143392713114;2025-04-23
1143392853117;2025-04-24
1143392913117;2025-04-24
1143392933111;2025-04-25
1143393013114;2025-04-25
1143393053114;2025-04-28
1143393083114;2025-04-28
1143393093117;2025-04-29
1143393113117;2025-04-28
1143393123114;2025-04-28
1143393193114;2025-04-28
1143393243117;2025-05-05
1143393253117;2025-04-29
1143393273111;2025-04-29
1143393303108;2025-04-29
1143393363114;2025-04-30
1143393363117;2025-04-30
1143393443114;2025-04-30
1143393483114;2025-04-30
1143393493114;2025-04-30
1143393513114;2025-04-30
1143393563114;2025-04-30
1143393583114;2025-04-30
1143393613114;2025-04-30
1143393623114;2025-04-30
1143393713114;2025-05-02
1143393723114;2025-05-01
1143393733114;2025-05-01
1143393743114;2025-05-01
1143393753114;2025-05-01
1143393763114;2025-05-01
1143393773114;2025-05-02
1143393953117;2025-05-06
1143393983115;2025-05-06
1143393993112;2025-05-07
1143393993114;2025-05-07
